booking_id,package_id,user_id,booking_date,travel_date,lead_time_days,group_size,final_price_paid
BKG00067,PKG0017,USR0221,2024-09-27,2024-10-07,10,4,103060
BKG00068,PKG0036,USR0373,2025-02-16,2025-02-18,2,2,17200
BKG00069,PKG0047,USR0188,2024-02-22,2024-04-22,60,2,62060
BKG00070,PKG0019,USR0292,2025-01-06,2025-07-05,180,10,220620
BKG00071,PKG0053,USR0284,2025-01-30,2025-07-29,180,2,54110
BKG00072,PKG0060,USR0259,2025-07-17,2025-10-15,90,4,18410
BKG00073,PKG0051,USR0144,2025-09-30,2025-12-29,90,3,46110
BKG00074,PKG0025,USR0349,2024-05-11,2024-08-09,90,4,35840
BKG00075,PKG0026,USR0050,2024-12-13,2025-01-12,30,4,147390
BKG00076,PKG0018,USR0286,2024-05-27,2024-05-29,2,4,80380
BKG00077,PKG0060,USR0102,2025-02-15,2025-02-20,5,1,7470
BKG00078,PKG0005,USR0257,2024-02-09,2024-04-09,60,2,47960
BKG00079,PKG0014,USR0071,2025-04-30,2025-06-29,60,1,5740
BKG00080,PKG0022,USR0266,2025-09-12,2025-09-22,10,2,16010
BKG00081,PKG0006,USR0264,2025-09-19,2025-09-21,2,10,120520
BKG00082,PKG0019,USR0164,2025-09-23,2025-09-25,2,3,125280
BKG00083,PKG0005,USR0379,2025-08-30,2025-09-09,10,4,88460
BKG00084,PKG0060,USR0173,2025-06-05,2025-07-20,45,3,15800
BKG00085,PKG0025,USR0273,2025-07-30,2025-08-14,15,5,57660
BKG00086,PKG0030,USR0154,2024-01-18,2024-03-18,60,3,246700
BKG00087,PKG0004,USR0189,2024-04-22,2024-08-20,120,1,7110
BKG00088,PKG0008,USR0214,2024-01-28,2024-02-12,15,2,94000
BKG00089,PKG0027,USR0306,2025-08-15,2025-10-14,60,4,31200
BKG00090,PKG0059,USR0296,2024-02-22,2024-03-08,15,2,53950
BKG00091,PKG0016,USR0299,2025-06-20,2025-07-10,20,6,170770
BKG00092,PKG0015,USR0323,2025-01-24,2025-02-13,20,3,20180
BKG00093,PKG0028,USR0076,2024-09-05,2024-09-25,20,3,39550
BKG00094,PKG0016,USR0017,2024-04-22,2024-05-12,20,2,76210
BKG00095,PKG0031,USR0098,2024-11-17,2024-12-17,30,6,198160
BKG00096,PKG0048,USR0215,2024-07-27,2024-08-11,15,2,18510
BKG00097,PKG0056,USR0211,2025-09-18,2025-11-02,45,4,163220
BKG00098,PKG0042,USR0242,2024-03-04,2024-03-09,5,2,116280
BKG00099,PKG0052,USR0362,2024-07-31,2024-10-29,90,4,34090
BKG00100,PKG0045,USR0288,2025-05-04,2025-06-03,30,5,156030
BKG00101,PKG0043,USR0270,2024-06-26,2024-07-26,30,2,50670
BKG00102,PKG0051,USR0236,2024-12-16,2024-12-21,5,2,47130
BKG00103,PKG0005,USR0280,2024-09-27,2024-10-27,30,6,114560
BKG00104,PKG0035,USR0313,2024-09-09,2024-11-08,60,1,4590
BKG00105,PKG0022,USR0143,2024-08-18,2024-08-20,2,2,20940
BKG00106,PKG0003,USR0153,2024-07-31,2024-09-29,60,8,757640
BKG00107,PKG0022,USR0354,2024-11-20,2024-11-22,2,2,26850
BKG00108,PKG0035,USR0246,2024-10-07,2024-11-06,30,2,11030
BKG00109,PKG0014,USR0148,2025-07-10,2026-01-06,180,3,14810
BKG00110,PKG0018,USR0195,2025-02-08,2025-02-18,10,3,42920
BKG00111,PKG0022,USR0177,2024-05-29,2024-06-18,20,3,23130
BKG00112,PKG0037,USR0149,2024-03-21,2024-03-31,10,1,46070
BKG00113,PKG0059,USR0178,2024-09-19,2024-10-19,30,3,61000
BKG00114,PKG0051,USR0383,2024-07-25,2024-09-08,45,2,32440
BKG00115,PKG0025,USR0276,2025-07-29,2025-08-08,10,6,74520
BKG00116,PKG0030,USR0357,2024-04-21,2024-04-23,2,10,1365100
BKG00117,PKG0006,USR0316,2024-09-02,2024-11-01,60,3,35760
BKG00118,PKG0026,USR0125,2025-06-27,2025-08-11,45,8,231090
BKG00119,PKG0055,USR0116,2024-02-23,2024-03-14,20,2,31360
BKG00120,PKG0060,USR0052,2025-04-28,2025-05-03,5,1,9390
BKG00121,PKG0015,USR0052,2024-05-20,2024-06-04,15,2,15880
BKG00122,PKG0047,USR0003,2024-06-10,2024-10-08,120,1,23440
BKG00123,PKG0038,USR0209,2025-05-02,2025-06-16,45,5,371500
BKG00124,PKG0060,USR0245,2024-10-21,2024-10-31,10,10,51290
BKG00125,PKG0009,USR0165,2024-03-01,2024-05-30,90,4,47520
BKG00126,PKG0006,USR0394,2025-08-10,2025-08-15,5,6,76770
BKG00127,PKG0009,USR0119,2024-02-08,2024-03-24,45,4,45190
BKG00128,PKG0010,USR0090,2024-06-29,2024-07-14,15,1,17800
BKG00129,PKG0032,USR0019,2025-02-10,2025-02-20,10,1,25190
BKG00130,PKG0044,USR0254,2024-10-23,2025-01-21,90,3,197910
BKG00131,PKG0038,USR0020,2025-08-04,2025-09-03,30,3,207680
BKG00132,PKG0008,USR0309,2024-12-09,2025-04-08,120,4,133870
BKG00133,PKG0054,USR0146,2025-07-10,2025-10-08,90,4,68510
BKG00134,PKG0036,USR0269,2024-05-17,2024-08-15,90,4,22800
BKG00135,PKG0057,USR0259,2024-07-16,2024-07-21,5,8,144190
BKG00136,PKG0034,USR0058,2025-04-14,2025-07-13,90,8,266520
BKG00137,PKG0046,USR0332,2024-07-09,2024-08-23,45,2,56370
BKG00138,PKG0008,USR0008,2024-10-29,2024-12-13,45,8,313220
BKG00139,PKG0038,USR0291,2024-07-16,2025-01-12,180,2,144820
BKG00140,PKG0007,USR0090,2025-02-19,2025-04-05,45,5,46470
BKG00141,PKG0011,USR0219,2024-03-29,2024-04-28,30,2,99400
BKG00142,PKG0040,USR0206,2024-07-08,2024-09-06,60,5,83760
BKG00143,PKG0057,USR0072,2024-09-11,2024-09-16,5,4,73520
BKG00144,PKG0057,USR0004,2024-08-29,2024-10-13,45,2,33850
BKG00145,PKG0043,USR0229,2024-12-03,2025-04-02,120,1,27990
BKG00146,PKG0044,USR0155,2025-08-09,2025-11-07,90,1,66060
BKG00147,PKG0051,USR0006,2025-01-03,2025-01-23,20,2,37240
BKG00148,PKG0023,USR0355,2024-05-01,2024-07-30,90,4,240460
BKG00149,PKG0037,USR0239,2025-02-19,2025-03-06,15,2,83780
BKG00150,PKG0037,USR0352,2024-11-14,2024-12-14,30,1,44530
BKG00151,PKG0053,USR0354,2024-10-29,2024-11-28,30,5,178080
BKG00152,PKG0052,USR0189,2024-08-12,2024-08-27,15,2,24570
BKG00153,PKG0056,USR0069,2025-04-10,2025-04-20,10,4,212770
BKG00154,PKG0032,USR0383,2025-01-17,2025-01-22,5,4,146780
BKG00155,PKG0030,USR0213,2025-04-27,2025-05-12,15,1,124090
BKG00156,PKG0058,USR0388,2024-08-11,2024-12-09,120,4,110270
BKG00157,PKG0032,USR0391,2025-09-02,2025-09-12,10,3,86520
BKG00158,PKG0042,USR0042,2025-06-24,2025-07-04,10,10,468640
BKG00159,PKG0040,USR0361,2025-07-31,2025-08-05,5,4,101710
BKG00160,PKG0027,USR0058,2025-07-14,2025-07-24,10,3,30630
BKG00161,PKG0048,USR0259,2025-07-03,2025-09-01,60,10,74710
BKG00162,PKG0049,USR0077,2025-06-16,2025-07-06,20,3,92330
BKG00163,PKG0041,USR0227,2024-07-29,2024-07-31,2,3,33330
BKG00164,PKG0056,USR0368,2024-04-03,2024-09-30,180,1,28720
BKG00165,PKG0023,USR0262,2024-02-26,2024-04-26,60,8,595580
BKG00166,PKG0024,USR0233,2025-03-01,2025-04-15,45,2,42140
BKG00167,PKG0034,USR0234,2025-07-26,2025-08-15,20,2,83960
BKG00168,PKG0052,USR0237,2024-11-11,2024-12-01,20,5,60230
BKG00169,PKG0055,USR0371,2024-09-17,2024-12-16,90,3,47600
BKG00170,PKG0051,USR0002,2025-08-15,2025-09-14,30,3,43260
BKG00171,PKG0030,USR0038,2024-12-18,2024-12-28,10,2,257940
BKG00172,PKG0012,USR0359,2024-03-02,2024-04-01,30,4,211560
BKG00173,PKG0035,USR0036,2025-04-28,2025-08-26,120,1,4040
BKG00174,PKG0045,USR0017,2024-07-03,2024-08-17,45,4,117020
BKG00175,PKG0008,USR0394,2025-03-06,2025-07-04,120,3,93970
BKG00176,PKG0023,USR0192,2025-01-26,2025-01-28,2,6,592870
BKG00177,PKG0059,USR0230,2025-01-21,2025-02-10,20,2,49320
BKG00178,PKG0059,USR0193,2025-07-06,2025-09-04,60,3,57260
BKG00179,PKG0057,USR0069,2024-12-22,2025-03-22,90,10,113140
BKG00180,PKG0008,USR0061,2025-07-04,2025-07-19,15,2,81840
BKG00181,PKG0042,USR0202,2024-08-16,2024-08-21,5,2,130620
BKG00182,PKG0007,USR0002,2024-11-01,2024-12-31,60,5,46120
BKG00183,PKG0019,USR0238,2025-07-11,2025-11-08,120,8,211110
BKG00184,PKG0033,USR0218,2024-08-23,2024-09-02,10,4,105580
BKG00185,PKG0005,USR0127,2024-06-07,2024-07-22,45,3,71900
BKG00186,PKG0009,USR0142,2024-04-25,2024-05-25,30,2,30130
BKG00187,PKG0025,USR0017,2025-03-05,2025-04-19,45,3,36960
BKG00188,PKG0022,USR0315,2024-01-17,2024-02-16,30,3,24360
BKG00189,PKG0054,USR0124,2024-04-13,2024-04-23,10,4,110740
BKG00190,PKG0047,USR0305,2025-09-04,2026-01-02,120,2,49340
BKG00191,PKG0044,USR0345,2024-02-19,2024-02-21,2,4,318440
BKG00192,PKG0006,USR0126,2025-02-15,2025-02-25,10,6,62360
BKG00193,PKG0057,USR0225,2024-08-10,2024-11-08,90,8,116310
BKG00194,PKG0045,USR0387,2024-02-27,2024-03-28,30,1,33370
BKG00195,PKG0035,USR0072,2024-10-23,2024-11-22,30,2,11680
BKG00196,PKG0027,USR0120,2025-08-12,2025-09-26,45,2,18310
BKG00197,PKG0026,USR0164,2024-11-24,2025-01-08,45,8,250600
BKG00198,PKG0001,USR0122,2024-05-26,2024-06-10,15,3,140480
BKG00199,PKG0057,USR0339,2025-02-27,2025-03-04,5,5,88740
BKG00200,PKG0019,USR0154,2025-07-24,2025-10-22,90,5,127510
BKG00201,PKG0017,USR0303,2024-06-28,2024-07-13,15,2,49000
BKG00202,PKG0051,USR0321,2025-07-23,2025-09-21,60,2,29170
BKG00203,PKG0018,USR0254,2024-12-18,2025-01-17,30,3,48680
BKG00204,PKG0052,USR0330,2025-06-21,2025-08-20,60,2,17860
BKG00205,PKG0041,USR0164,2025-02-22,2025-03-04,10,4,38460
BKG00206,PKG0031,USR0077,2024-07-07,2024-07-17,10,1,34220
BKG00207,PKG0054,USR0387,2024-09-03,2024-09-18,15,2,45310
BKG00208,PKG0015,USR0116,2024-05-27,2024-06-01,5,2,16790
BKG00209,PKG0059,USR0238,2025-07-29,2025-09-12,45,3,70550
BKG00210,PKG0043,USR0212,2025-07-24,2025-08-03,10,3,98060
BKG00211,PKG0017,USR0272,2024-09-05,2024-09-15,10,3,78140
BKG00212,PKG0038,USR0131,2024-03-21,2024-05-05,45,2,159080
BKG00213,PKG0032,USR0231,2024-04-04,2024-07-03,90,5,109240
BKG00214,PKG0027,USR0275,2024-07-14,2024-07-24,10,6,58300
BKG00215,PKG0044,USR0027,2025-09-11,2025-10-01,20,3,170160
BKG00216,PKG0023,USR0309,2024-03-15,2024-07-13,120,2,125250
BKG00217,PKG0022,USR0097,2025-08-24,2025-10-08,45,1,6530
BKG00218,PKG0032,USR0371,2024-08-10,2024-09-09,30,2,52390
BKG00219,PKG0053,USR0246,2024-12-06,2025-02-04,60,2,60710
BKG00220,PKG0011,USR0156,2024-01-16,2024-02-15,30,6,229100
BKG00221,PKG0045,USR0109,2024-04-30,2024-05-30,30,4,137920
BKG00222,PKG0025,USR0383,2025-05-05,2025-06-04,30,3,32400
BKG00223,PKG0014,USR0125,2024-07-28,2024-08-27,30,5,28370
BKG00224,PKG0004,USR0204,2025-07-19,2025-09-17,60,5,40110
BKG00225,PKG0049,USR0165,2025-01-24,2025-03-25,60,4,96690
BKG00226,PKG0025,USR0239,2025-01-02,2025-04-02,90,5,56650
BKG00227,PKG0011,USR0158,2025-06-09,2025-08-08,60,5,211020
BKG00228,PKG0018,USR0255,2025-04-25,2025-05-10,15,10,170990
BKG00229,PKG0024,USR0390,2024-07-27,2024-07-29,2,1,21190
BKG00230,PKG0008,USR0190,2024-02-16,2024-03-17,30,1,42970
BKG00231,PKG0024,USR0289,2024-05-29,2024-06-18,20,1,18420
BKG00232,PKG0055,USR0009,2025-08-21,2025-09-20,30,6,92390
BKG00233,PKG0030,USR0297,2024-10-29,2025-02-26,120,6,452680
BKG00234,PKG0020,USR0079,2024-08-23,2024-09-22,30,3,74080
BKG00235,PKG0042,USR0195,2024-09-08,2024-09-10,2,2,123300
BKG00236,PKG0039,USR0256,2024-12-11,2025-04-10,120,6,97950
BKG00237,PKG0039,USR0132,2025-05-15,2025-05-20,5,4,93470
BKG00238,PKG0014,USR0371,2025-05-17,2025-09-14,120,4,19280
BKG00239,PKG0036,USR0236,2024-12-26,2025-01-25,30,10,68550
BKG00240,PKG0008,USR0087,2025-07-13,2025-07-23,10,2,93880
BKG00241,PKG0037,USR0251,2025-07-09,2025-11-06,120,5,146670
BKG00242,PKG0041,USR0329,2025-06-20,2025-09-18,90,2,16270
BKG00243,PKG0025,USR0018,2024-03-17,2024-03-27,10,3,35510
BKG00244,PKG0033,USR0343,2024-01-07,2024-01-17,10,2,65420
BKG00245,PKG0031,USR0212,2024-08-24,2024-11-22,90,4,136390
BKG00246,PKG0018,USR0035,2024-01-10,2024-01-25,15,1,18570
BKG00247,PKG0026,USR0112,2025-01-17,2025-07-16,180,2,49110
BKG00248,PKG0020,USR0031,2025-09-23,2025-10-23,30,10,214500
BKG00249,PKG0003,USR0248,2024-01-17,2024-01-22,5,3,611660
BKG00250,PKG0028,USR0004,2025-02-25,2025-04-11,45,3,46880
BKG00251,PKG0047,USR0007,2024-10-08,2024-10-18,10,8,214500
BKG00252,PKG0039,USR0275,2024-01-18,2024-01-28,10,3,73440
BKG00253,PKG0009,USR0258,2025-03-16,2025-04-15,30,2,28170
BKG00254,PKG0016,USR0092,2024-04-08,2024-08-06,120,10,238820
BKG00255,PKG0028,USR0269,2024-07-15,2024-10-13,90,2,22060
BKG00256,PKG0038,USR0318,2024-12-28,2025-02-26,60,2,132790
BKG00257,PKG0006,USR0137,2024-03-21,2024-04-20,30,8,79520
BKG00258,PKG0056,USR0192,2025-04-15,2025-05-05,20,3,118440
BKG00259,PKG0029,USR0290,2024-08-19,2024-09-08,20,4,95790
BKG00260,PKG0010,USR0154,2024-03-23,2024-03-25,2,2,37980
BKG00261,PKG0037,USR0335,2024-02-02,2024-06-01,120,3,84350
BKG00262,PKG0026,USR0048,2025-01-21,2025-04-21,90,2,60980
BKG00263,PKG0015,USR0283,2024-01-10,2024-01-12,2,4,37820
BKG00264,PKG0040,USR0360,2025-05-26,2025-08-24,90,6,103510
BKG00265,PKG0019,USR0223,2024-12-05,2025-02-03,60,2,48740
BKG00266,PKG0019,USR0290,2024-04-07,2024-04-22,15,1,42830
BKG00267,PKG0040,USR0271,2024-08-23,2024-09-02,10,2,43270
BKG00268,PKG0056,USR0109,2025-08-03,2025-08-18,15,3,123280
BKG00269,PKG0031,USR0244,2024-03-17,2024-03-27,10,2,70280
BKG00270,PKG0056,USR0351,2025-07-10,2025-07-20,10,1,37460
BKG00271,PKG0040,USR0289,2024-07-02,2024-07-17,15,2,44660
BKG00272,PKG0015,USR0162,2024-07-31,2024-09-14,45,6,38050
BKG00273,PKG0017,USR0301,2025-02-11,2025-02-26,15,2,52860
BKG00274,PKG0028,USR0040,2025-07-31,2025-08-15,15,4,64400
BKG00275,PKG0051,USR0124,2025-02-02,2025-03-04,30,4,62440
BKG00276,PKG0007,USR0347,2024-12-05,2025-01-04,30,3,28900
BKG00277,PKG0014,USR0197,2024-05-23,2024-05-28,5,4,36170
BKG00278,PKG0007,USR0353,2025-05-27,2025-06-06,10,3,30760
BKG00279,PKG0051,USR0382,2024-02-24,2024-08-22,180,2,26790
BKG00280,PKG0003,USR0051,2024-03-18,2024-05-02,45,3,410290
BKG00281,PKG0015,USR0175,2025-09-20,2025-10-20,30,2,13250
BKG00282,PKG0021,USR0305,2024-11-30,2025-01-29,60,2,36370
BKG00283,PKG0028,USR0016,2025-04-06,2025-05-06,30,6,84550
BKG00284,PKG0023,USR0252,2025-07-20,2025-08-09,20,2,139220
BKG00285,PKG0057,USR0193,2025-08-22,2025-10-06,45,3,37790
BKG00286,PKG0040,USR0339,2025-09-25,2026-03-24,180,3,48010
BKG00287,PKG0025,USR0152,2024-03-16,2024-03-21,5,4,58220
BKG00288,PKG0033,USR0043,2025-01-24,2025-02-13,20,6,141030
BKG00289,PKG0022,USR0365,2024-06-06,2024-06-21,15,2,18090
BKG00290,PKG0005,USR0379,2025-01-04,2025-01-24,20,2,53380
BKG00291,PKG0015,USR0055,2024-11-11,2025-02-09,90,8,44970
BKG00292,PKG0046,USR0228,2024-10-03,2024-11-02,30,4,142070
BKG00293,PKG0033,USR0053,2024-07-10,2024-07-30,20,4,88050
BKG00294,PKG0018,USR0221,2025-07-22,2025-08-01,10,1,15490
BKG00295,PKG0030,USR0263,2024-01-27,2024-05-26,120,5,457050
BKG00296,PKG0044,USR0046,2024-04-05,2024-05-20,45,2,134500
BKG00297,PKG0010,USR0306,2024-11-28,2024-12-13,15,1,20580
BKG00298,PKG0050,USR0198,2025-02-27,2025-03-29,30,5,28110
BKG00299,PKG0012,USR0199,2025-07-26,2025-07-31,5,2,105100
BKG00300,PKG0006,USR0125,2024-06-22,2024-06-27,5,2,25040
BKG00301,PKG0017,USR0351,2024-05-22,2024-06-06,15,2,56750
BKG00302,PKG0029,USR0138,2025-05-19,2025-07-03,45,3,61010
BKG00303,PKG0002,USR0075,2025-03-21,2025-06-19,90,2,14830
BKG00304,PKG0051,USR0142,2025-05-10,2025-06-24,45,5,65480
BKG00305,PKG0045,USR0040,2024-09-09,2024-09-29,20,4,112930
BKG00306,PKG0034,USR0370,2025-08-31,2025-11-29,90,2,93290
BKG00307,PKG0024,USR0316,2024-04-19,2024-05-09,20,2,46150
BKG00308,PKG0033,USR0070,2025-02-09,2025-04-10,60,1,27040
BKG00309,PKG0054,USR0171,2025-01-24,2025-07-23,180,2,33460
BKG00310,PKG0006,USR0169,2025-03-16,2025-03-21,5,10,128650
BKG00311,PKG0019,USR0334,2024-05-19,2024-07-03,45,4,114760
BKG00312,PKG0016,USR0154,2024-07-24,2024-09-22,60,2,64550
BKG00313,PKG0038,USR0246,2025-02-11,2025-04-12,60,2,151860
BKG00314,PKG0036,USR0164,2025-05-17,2025-06-16,30,8,45440
BKG00315,PKG0001,USR0295,2024-11-29,2024-12-04,5,2,147820
BKG00316,PKG0004,USR0193,2025-02-06,2025-06-06,120,2,12840
BKG00317,PKG0038,USR0187,2025-07-31,2025-09-14,45,4,259690
BKG00318,PKG0040,USR0103,2025-07-12,2025-08-11,30,2,37760
BKG00319,PKG0051,USR0093,2025-07-17,2025-11-14,120,4,57520
BKG00320,PKG0007,USR0014,2025-04-17,2025-04-19,2,4,48560
BKG00321,PKG0001,USR0363,2024-10-25,2024-11-24,30,6,323110
BKG00322,PKG0038,USR0355,2025-02-22,2025-03-04,10,2,161310
BKG00323,PKG0005,USR0345,2024-11-06,2025-02-04,90,10,153050
BKG00324,PKG0054,USR0124,2024-06-06,2024-06-11,5,5,128850
BKG00325,PKG0018,USR0367,2025-01-21,2025-02-20,30,5,62690
BKG00326,PKG0016,USR0038,2025-09-04,2025-09-19,15,2,89930
BKG00327,PKG0051,USR0246,2025-07-01,2025-12-28,180,3,41130
BKG00328,PKG0031,USR0260,2025-03-04,2025-03-19,15,2,74080
BKG00329,PKG0047,USR0279,2025-01-03,2025-01-23,20,4,121020
BKG00330,PKG0020,USR0360,2025-07-03,2025-10-31,120,1,21160
BKG00331,PKG0047,USR0305,2024-03-28,2024-05-12,45,2,63510
BKG00332,PKG0024,USR0056,2024-12-29,2025-04-28,120,2,36650
BKG00333,PKG0059,USR0086,2024-02-15,2024-03-06,20,1,22960
BKG00334,PKG0060,USR0289,2025-02-13,2025-03-05,20,2,10020
BKG00335,PKG0054,USR0386,2025-03-16,2025-04-05,20,2,45890
BKG00336,PKG0051,USR0055,2024-09-21,2025-01-19,120,4,61310
BKG00337,PKG0028,USR0114,2025-06-15,2025-07-30,45,4,48300
BKG00338,PKG0010,USR0286,2025-08-12,2025-10-11,60,2,25030
BKG00339,PKG0036,USR0114,2025-02-04,2025-05-05,90,4,26240
BKG00340,PKG0034,USR0238,2025-08-25,2025-11-23,90,2,83580
BKG00341,PKG0010,USR0354,2024-12-19,2025-01-08,20,4,68940
BKG00342,PKG0051,USR0013,2024-10-29,2024-11-03,5,3,79400
BKG00343,PKG0049,USR0213,2024-03-28,2024-04-12,15,8,316410
BKG00344,PKG0035,USR0060,2024-05-25,2024-09-22,120,4,14070
BKG00345,PKG0058,USR0179,2025-04-11,2025-04-13,2,10,329060
BKG00346,PKG0026,USR0106,2024-12-22,2025-02-05,45,2,56950
BKG00347,PKG0029,USR0244,2025-04-08,2025-04-28,20,2,46300
BKG00348,PKG0008,USR0164,2024-02-15,2024-02-17,2,5,268520
BKG00349,PKG0004,USR0364,2024-12-17,2024-12-22,5,2,24240
BKG00350,PKG0003,USR0332,2024-06-17,2024-07-07,20,3,332350
BKG00351,PKG0052,USR0380,2024-06-27,2024-07-07,10,3,32190
BKG00352,PKG0023,USR0283,2025-07-27,2025-09-25,60,5,312460
BKG00353,PKG0004,USR0219,2024-08-25,2024-10-09,45,4,32440
BKG00354,PKG0041,USR0208,2024-07-09,2024-07-19,10,1,10440
BKG00355,PKG0025,USR0328,2025-02-09,2025-03-26,45,4,41340
BKG00356,PKG0007,USR0015,2024-07-21,2024-08-20,30,2,15490
BKG00357,PKG0013,USR0231,2025-02-02,2025-03-04,30,2,50120
BKG00358,PKG0040,USR0003,2024-07-29,2024-10-27,90,2,37850
BKG00359,PKG0044,USR0143,2024-03-05,2024-04-04,30,4,270990
BKG00360,PKG0044,USR0296,2025-07-03,2025-07-23,20,3,160060
BKG00361,PKG0059,USR0096,2024-07-20,2024-10-18,90,4,85670
BKG00362,PKG0004,USR0235,2025-05-16,2025-06-30,45,5,43770
BKG00363,PKG0044,USR0271,2024-11-16,2024-12-16,30,2,122490
BKG00364,PKG0044,USR0306,2025-02-05,2025-03-22,45,4,223070
BKG00365,PKG0016,USR0301,2024-12-26,2025-02-09,45,3,103920
BKG00366,PKG0008,USR0235,2024-10-31,2024-11-15,15,2,118680
