user_id,preferred_categories,budget_range,past_bookings_count,signup_date
USR0071,Honeymoon,50k-100k,4,2023-08-13
USR0072,Honeymoon,100k+,4,2024-04-20
USR0073,Beach,10k-25k,3,2025-05-18
USR0074,Wildlife,10k-25k,5,2025-03-31
USR0075,Pilgrimage;Beach,100k+,0,2024-09-01
USR0076,Honeymoon;Wildlife,100k+,2,2025-04-14
USR0077,Beach;Wildlife;Honeymoon,50k-100k,5,2023-06-12
USR0078,Honeymoon;Wildlife;Pilgrimage,25k-50k,5,2025-02-08
USR0079,Honeymoon,25k-50k,1,2025-02-23
USR0080,Wildlife;Pilgrimage;Leisure,25k-50k,3,2024-03-26
USR0081,Pilgrimage,25k-50k,1,2023-08-29
USR0082,Cultural;Honeymoon,100k+,2,2023-03-24
USR0083,Leisure,10k-25k,1,2024-01-28
USR0084,Leisure;Pilgrimage;Honeymoon,<10k,0,2024-02-29
USR0085,Cultural;Beach,50k-100k,2,2024-03-01
USR0086,Leisure,50k-100k,2,2024-02-03
USR0087,Pilgrimage;Adventure;Beach,50k-100k,5,2024-05-03
USR0088,Cultural,25k-50k,1,2025-02-10
USR0089,Honeymoon;Wildlife,100k+,3,2025-02-04
USR0090,Beach;Honeymoon;Leisure,50k-100k,1,2023-08-13
USR0091,Wildlife;Honeymoon,<10k,1,2024-02-03
USR0092,Pilgrimage;Honeymoon,50k-100k,1,2025-01-11
USR0093,Honeymoon,50k-100k,5,2023-05-11
USR0094,Beach;Adventure;Wildlife,100k+,3,2024-07-31
USR0095,Adventure;Honeymoon;Wildlife,10k-25k,1,2025-06-06
USR0096,Leisure;Adventure,25k-50k,3,2024-01-24
USR0097,Leisure;Wildlife,25k-50k,5,2023-12-12
USR0098,Cultural;Wildlife,25k-50k,3,2025-05-04
USR0099,Wildlife,<10k,4,2025-02-06
USR0100,Adventure;Cultural;Leisure,<10k,1,2025-03-10
USR0101,Adventure;Honeymoon;Leisure,10k-25k,3,2025-05-09
USR0102,Beach,10k-25k,6,2023-09-02
USR0103,Wildlife,<10k,5,2024-07-31
USR0104,Wildlife,25k-50k,3,2025-02-24
USR0105,Leisure;Beach,100k+,0,2025-02-04
USR0106,Adventure;Leisure;Cultural,<10k,3,2024-08-15
USR0107,Cultural,100k+,5,2024-11-24
USR0108,Wildlife;Pilgrimage,10k-25k,2,2023-03-19
USR0109,Pilgrimage;Honeymoon;Leisure,<10k,8,2024-12-14
USR0110,Honeymoon;Pilgrimage,100k+,1,2025-04-04
USR0111,Honeymoon,100k+,4,2025-03-12
USR0112,Cultural,100k+,1,2024-03-14
USR0113,Cultural;Adventure;Beach,25k-50k,5,2023-01-13
USR0114,Honeymoon;Wildlife,<10k,3,2024-03-19
USR0115,Pilgrimage;Wildlife,10k-25k,0,2024-03-21
USR0116,Pilgrimage,100k+,3,2024-10-28
USR0117,Beach;Honeymoon,50k-100k,1,2024-04-21
USR0118,Honeymoon;Pilgrimage,100k+,2,2023-10-02
USR0119,Honeymoon;Leisure,<10k,3,2023-10-13
USR0120,Leisure;Wildlife,100k+,5,2024-09-16
USR0121,Wildlife;Cultural;Adventure,50k-100k,3,2025-05-21
USR0122,Leisure;Wildlife,10k-25k,4,2023-12-30
USR0123,Cultural;Honeymoon,100k+,0,2024-12-19
USR0124,Beach;Adventure,100k+,1,2023-07-15
USR0125,Leisure,50k-100k,1,2024-05-15
USR0126,Honeymoon;Leisure;Wildlife,50k-100k,2,2024-04-03
USR0127,Adventure,25k-50k,3,2023-08-15
USR0128,Pilgrimage;Leisure,25k-50k,1,2024-11-10
USR0129,Cultural;Wildlife;Beach,100k+,1,2023-12-19
USR0130,Pilgrimage;Beach,25k-50k,1,2023-12-27
USR0131,Wildlife;Cultural;Pilgrimage,25k-50k,1,2023-08-25
USR0132,Pilgrimage,10k-25k,1,2023-11-20
USR0133,Pilgrimage,100k+,2,2025-02-19
USR0134,Leisure;Honeymoon;Pilgrimage,50k-100k,2,2023-10-11
USR0135,Beach;Honeymoon;Pilgrimage,25k-50k,2,2023-04-13
USR0136,Cultural,10k-25k,3,2024-01-05
USR0137,Cultural,<10k,1,2024-12-26
USR0138,Leisure;Cultural;Adventure,<10k,3,2024-07-20
USR0139,Pilgrimage;Leisure,50k-100k,1,2023-04-16
USR0140,Beach,25k-50k,4,2024-04-25
USR0141,Wildlife;Cultural,10k-25k,1,2023-02-22
USR0142,Honeymoon;Wildlife,<10k,2,2025-04-21
USR0143,Wildlife,50k-100k,1,2023-03-17
USR0144,Pilgrimage;Honeymoon;Adventure,10k-25k,1,2023-06-02
USR0145,Cultural;Adventure;Leisure,<10k,1,2024-07-25
USR0146,Beach;Honeymoon,100k+,5,2023-08-20
USR0147,Wildlife;Honeymoon;Pilgrimage,25k-50k,4,2025-05-30
USR0148,Wildlife;Cultural;Beach,100k+,2,2023-03-03
USR0149,Pilgrimage;Adventure;Leisure,10k-25k,4,2023-09-28
USR0150,Adventure;Leisure;Pilgrimage,10k-25k,1,2024-07-19
USR0151,Leisure,<10k,1,2024-02-23
USR0152,Pilgrimage;Beach,50k-100k,1,2023-10-26
USR0153,Leisure,25k-50k,2,2024-12-24
USR0154,Pilgrimage;Wildlife,<10k,3,2024-12-04
USR0155,Cultural,100k+,4,2024-11-08
USR0156,Wildlife,<10k,3,2024-07-11
USR0157,Pilgrimage,10k-25k,3,2023-09-30
USR0158,Adventure,<10k,2,2023-06-19
USR0159,Beach;Pilgrimage,100k+,1,2023-10-23
USR0160,Adventure;Wildlife,25k-50k,3,2024-12-17
USR0161,Cultural;Beach,100k+,2,2024-05-20
USR0162,Adventure;Beach,<10k,1,2024-03-18
USR0163,Cultural;Beach;Honeymoon,<10k,0,2023-04-04
USR0164,Pilgrimage,100k+,3,2024-08-24
USR0165,Honeymoon,25k-50k,4,2024-08-13
USR0166,Honeymoon,10k-25k,4,2024-04-26
USR0167,Pilgrimage;Wildlife;Cultural,10k-25k,3,2024-08-22
USR0168,Pilgrimage;Wildlife,<10k,3,2024-04-26
USR0169,Wildlife;Cultural,25k-50k,2,2024-11-17
USR0170,Honeymoon,10k-25k,3,2023-12-04
USR0171,Pilgrimage;Wildlife,25k-50k,4,2024-11-09
USR0172,Honeymoon;Beach,<10k,2,2024-04-10
USR0173,Cultural,25k-50k,3,2023-11-28
USR0174,Honeymoon,50k-100k,4,2025-06-04
USR0175,Honeymoon;Adventure;Beach,50k-100k,3,2024-02-28
USR0176,Leisure,100k+,5,2024-01-06
USR0177,Honeymoon;Wildlife;Pilgrimage,<10k,1,2023-07-28
USR0178,Beach;Leisure,25k-50k,1,2024-03-24
USR0179,Wildlife;Adventure;Pilgrimage,100k+,5,2025-03-29
USR0180,Pilgrimage,10k-25k,2,2023-11-15
USR0181,Adventure;Beach;Wildlife,<10k,2,2023-08-19
USR0182,Wildlife,<10k,5,2024-10-25
USR0183,Wildlife,25k-50k,1,2024-06-05
USR0184,Cultural;Wildlife;Pilgrimage,50k-100k,5,2023-09-07
USR0185,Beach;Leisure,50k-100k,3,2023-07-15
USR0186,Beach;Pilgrimage;Leisure,<10k,6,2023-10-10
USR0187,Cultural;Beach,25k-50k,6,2025-04-20
USR0188,Cultural,25k-50k,3,2025-05-07
USR0189,Beach;Pilgrimage;Wildlife,10k-25k,5,2024-04-02
USR0190,Wildlife;Cultural;Pilgrimage,100k+,2,2025-02-20
USR0191,Wildlife;Honeymoon;Cultural,10k-25k,2,2024-12-15
USR0192,Beach,50k-100k,3,2023-08-28
USR0193,Adventure;Cultural,50k-100k,2,2024-12-23
USR0194,Wildlife;Pilgrimage,10k-25k,1,2024-05-22
USR0195,Leisure,100k+,3,2024-08-27
USR0196,Honeymoon;Adventure,50k-100k,2,2023-04-13
USR0197,Wildlife;Adventure;Leisure,50k-100k,3,2025-06-10
USR0198,Leisure;Adventure;Wildlife,25k-50k,1,2023-12-13
USR0199,Pilgrimage;Wildlife;Adventure,25k-50k,3,2025-05-22
USR0200,Honeymoon;Beach;Wildlife,25k-50k,3,2024-10-03
USR0201,Honeymoon;Wildlife;Beach,<10k,1,2024-09-24
USR0202,Leisure,25k-50k,2,2023-08-21
USR0203,Adventure;Wildlife;Honeymoon,<10k,3,2024-03-30
USR0204,Pilgrimage,25k-50k,2,2023-01-30
USR0205,Cultural,<10k,3,2023-10-28
USR0206,Cultural;Wildlife,10k-25k,2,2023-09-08
USR0207,Wildlife;Beach;Leisure,10k-25k,0,2023-06-29
USR0208,Beach,50k-100k,2,2024-09-26
USR0209,Leisure;Wildlife;Beach,10k-25k,0,2023-08-26
USR0210,Pilgrimage;Cultural,50k-100k,1,2023-09-19
USR0211,Adventure;Wildlife;Cultural,100k+,1,2023-06-11
USR0212,Wildlife,25k-50k,2,2024-08-24
USR0213,Pilgrimage;Wildlife,25k-50k,2,2024-04-12
USR0214,Leisure;Wildlife,50k-100k,4,2023-04-20
USR0215,Wildlife,100k+,2,2024-01-03
USR0216,Cultural;Pilgrimage;Honeymoon,<10k,1,2025-04-29
USR0217,Wildlife;Cultural;Adventure,100k+,1,2025-06-04
USR0218,Honeymoon;Pilgrimage;Adventure,100k+,0,2025-02-02
USR0219,Honeymoon;Cultural,10k-25k,2,2024-09-13
USR0220,Leisure;Pilgrimage,10k-25k,3,2024-09-27
USR0221,Pilgrimage;Honeymoon,10k-25k,2,2024-10-05
USR0222,Pilgrimage,<10k,3,2023-11-13
USR0223,Adventure;Beach,25k-50k,3,2025-01-19
USR0224,Adventure,25k-50k,5,2023-12-01
USR0225,Wildlife;Leisure;Pilgrimage,10k-25k,3,2025-03-16
USR0226,Cultural;Beach;Pilgrimage,25k-50k,3,2025-04-30
USR0227,Cultural,50k-100k,1,2025-04-05
USR0228,Pilgrimage;Cultural,<10k,0,2024-04-24
USR0229,Leisure,10k-25k,2,2025-05-30
USR0230,Pilgrimage;Honeymoon;Wildlife,100k+,4,2024-01-10
USR0231,Honeymoon,50k-100k,0,2023-01-15
USR0232,Beach;Adventure,50k-100k,3,2024-01-13
USR0233,Pilgrimage;Honeymoon;Cultural,100k+,2,2024-01-26
USR0234,Cultural;Adventure;Leisure,50k-100k,3,2023-01-26
USR0235,Beach;Cultural;Honeymoon,10k-25k,0,2024-10-25
USR0236,Pilgrimage,50k-100k,2,2024-12-18
USR0237,Pilgrimage;Wildlife,<10k,2,2023-05-24
USR0238,Adventure,25k-50k,2,2024-05-19
USR0239,Adventure,10k-25k,2,2024-07-04
USR0240,Wildlife,50k-100k,4,2024-01-15
USR0241,Pilgrimage;Honeymoon;Beach,50k-100k,2,2024-08-24
USR0242,Pilgrimage;Leisure;Wildlife,<10k,3,2025-05-03
USR0243,Beach;Wildlife,25k-50k,1,2023-02-03
USR0244,Cultural;Leisure;Wildlife,50k-100k,4,2023-08-30
USR0245,Adventure;Pilgrimage,25k-50k,4,2024-07-11
USR0246,Cultural;Adventure;Wildlife,25k-50k,1,2023-07-14
USR0247,Honeymoon,50k-100k,3,2023-04-04
USR0248,Leisure;Pilgrimage;Beach,<10k,3,2023-02-21
USR0249,Leisure;Honeymoon,100k+,4,2023-07-30
USR0250,Honeymoon,100k+,4,2023-08-01
USR0251,Leisure;Honeymoon;Cultural,10k-25k,3,2025-03-18
USR0252,Adventure;Cultural;Leisure,10k-25k,1,2024-07-07
USR0253,Honeymoon;Leisure,<10k,6,2024-11-07
USR0254,Leisure,<10k,3,2024-01-02
USR0255,Beach,25k-50k,2,2023-01-17
USR0256,Cultural,<10k,0,2023-05-10
USR0257,Wildlife;Beach;Adventure,<10k,3,2024-05-02
USR0258,Honeymoon;Cultural,100k+,3,2024-08-30
USR0259,Wildlife,100k+,3,2023-08-15
USR0260,Adventure;Pilgrimage;Beach,25k-50k,0,2024-04-14
USR0261,Adventure;Honeymoon;Wildlife,50k-100k,1,2024-03-12
USR0262,Adventure;Wildlife;Pilgrimage,<10k,7,2023-03-24
USR0263,Beach;Leisure,<10k,6,2023-05-10
USR0264,Beach;Pilgrimage,100k+,2,2024-07-15
USR0265,Cultural;Wildlife;Beach,100k+,2,2023-10-29
USR0266,Beach;Honeymoon,50k-100k,1,2023-04-12
USR0267,Adventure;Pilgrimage;Beach,10k-25k,0,2024-03-16
USR0268,Leisure;Wildlife,25k-50k,4,2025-04-27
USR0269,Wildlife;Honeymoon,<10k,2,2023-11-17
USR0270,Cultural;Pilgrimage,25k-50k,5,2024-01-19
USR0271,Pilgrimage,50k-100k,5,2023-03-10
USR0272,Honeymoon,<10k,1,2023-04-06
USR0273,Adventure;Pilgrimage,25k-50k,1,2025-04-11
USR0274,Beach,<10k,2,2024-08-23
USR0275,Beach;Cultural;Adventure,50k-100k,5,2023-12-29
USR0276,Honeymoon;Wildlife;Adventure,25k-50k,2,2024-09-06
USR0277,Cultural;Adventure,100k+,2,2024-06-03
USR0278,Leisure,50k-100k,3,2023-08-18
USR0279,Cultural,100k+,2,2024-01-12
USR0280,Honeymoon,25k-50k,6,2024-08-10
USR0281,Honeymoon,50k-100k,2,2025-05-15
USR0282,Honeymoon;Beach;Pilgrimage,100k+,2,2023-01-27
USR0283,Pilgrimage;Honeymoon;Cultural,<10k,2,2023-07-04
USR0284,Pilgrimage;Cultural,25k-50k,5,2023-12-26
USR0285,Leisure,10k-25k,4,2024-08-02
USR0286,Wildlife;Adventure;Leisure,<10k,8,2023-04-04
USR0287,Beach;Leisure;Wildlife,50k-100k,3,2024-04-09
USR0288,Leisure;Cultural,25k-50k,2,2025-01-08
USR0289,Honeymoon;Beach,100k+,3,2023-03-28
USR0290,Leisure,10k-25k,1,2025-02-11
USR0291,Adventure;Pilgrimage;Honeymoon,25k-50k,4,2024-03-29
USR0292,Wildlife;Honeymoon;Beach,50k-100k,3,2024-02-29
USR0293,Leisure;Beach,<10k,5,2023-12-20
USR0294,Adventure;Cultural,100k+,2,2024-05-13
USR0295,Pilgrimage;Cultural;Adventure,10k-25k,0,2024-02-09
USR0296,Adventure;Honeymoon;Leisure,25k-50k,2,2023-08-05
USR0297,Honeymoon,25k-50k,3,2023-10-24
USR0298,Adventure;Honeymoon,50k-100k,4,2025-02-03
USR0299,Leisure;Honeymoon,50k-100k,1,2024-06-29
USR0300,Leisure;Beach;Pilgrimage,25k-50k,0,2023-03-15
USR0301,Honeymoon;Pilgrimage,<10k,4,2024-03-22
USR0302,Wildlife,<10k,3,2025-06-01
USR0303,Beach;Wildlife,100k+,3,2024-02-19
USR0304,Pilgrimage;Wildlife;Cultural,<10k,1,2024-02-19
USR0305,Cultural,10k-25k,3,2025-03-31
USR0306,Wildlife;Pilgrimage;Cultural,<10k,4,2024-03-23
USR0307,Leisure,50k-100k,4,2024-08-26
USR0308,Beach;Adventure,50k-100k,1,2025-06-10
USR0309,Pilgrimage;Cultural,10k-25k,5,2023-12-08
USR0310,Adventure,100k+,6,2024-10-10
USR0311,Beach,100k+,0,2023-07-18
USR0312,Cultural;Pilgrimage,10k-25k,4,2023-08-30
USR0313,Leisure,25k-50k,2,2023-07-22
USR0314,Beach,10k-25k,2,2025-02-17
USR0315,Adventure;Leisure;Wildlife,50k-100k,3,2025-02-11
USR0316,Honeymoon;Beach;Wildlife,100k+,1,2024-10-20
USR0317,Beach;Cultural;Pilgrimage,10k-25k,0,2024-03-26
USR0318,Wildlife,50k-100k,3,2024-10-08
USR0319,Honeymoon;Cultural,100k+,3,2023-02-27
USR0320,Beach;Adventure,25k-50k,1,2024-04-17
USR0321,Adventure;Honeymoon,25k-50k,2,2025-05-01
USR0322,Adventure;Pilgrimage,<10k,4,2024-09-21
USR0323,Beach;Wildlife;Pilgrimage,100k+,2,2024-07-21
USR0324,Adventure;Wildlife;Beach,10k-25k,1,2023-11-26
USR0325,Wildlife;Beach;Leisure,<10k,0,2024-04-06
USR0326,Honeymoon,25k-50k,1,2025-01-01
USR0327,Beach,10k-25k,3,2023-02-10
USR0328,Pilgrimage,50k-100k,1,2024-03-25
USR0329,Beach;Honeymoon;Leisure,25k-50k,2,2024-01-17
USR0330,Wildlife;Honeymoon,25k-50k,1,2024-11-26
USR0331,Adventure;Pilgrimage;Cultural,<10k,5,2023-12-04
USR0332,Beach,50k-100k,1,2023-10-18
USR0333,Pilgrimage;Honeymoon,100k+,5,2025-06-13
USR0334,Cultural,<10k,1,2024-08-19
USR0335,Leisure;Cultural;Pilgrimage,50k-100k,0,2023-05-13
USR0336,Pilgrimage;Adventure;Cultural,100k+,1,2024-01-21
USR0337,Honeymoon;Cultural;Leisure,100k+,3,2023-04-06
USR0338,Pilgrimage;Wildlife;Beach,25k-50k,3,2023-01-19
USR0339,Cultural;Leisure,10k-25k,5,2023-12-16
USR0340,Leisure;Honeymoon,10k-25k,2,2023-06-08
USR0341,Cultural,<10k,0,2024-06-03
USR0342,Honeymoon;Pilgrimage;Beach,<10k,3,2024-11-08
USR0343,Honeymoon;Beach,10k-25k,3,2024-09-03
USR0344,Leisure;Honeymoon,10k-25k,1,2025-05-01
USR0345,Honeymoon;Beach;Leisure,50k-100k,4,2023-02-14
USR0346,Cultural;Pilgrimage,10k-25k,4,2024-03-30
USR0347,Cultural;Pilgrimage;Wildlife,10k-25k,3,2024-06-30
USR0348,Cultural,50k-100k,2,2025-05-05
USR0349,Cultural,100k+,2,2024-03-27
USR0350,Honeymoon;Cultural,50k-100k,3,2024-05-29
USR0351,Wildlife;Leisure;Pilgrimage,100k+,3,2023-05-22
USR0352,Adventure;Pilgrimage,50k-100k,2,2025-06-14
USR0353,Beach;Adventure,100k+,3,2025-05-21
USR0354,Cultural,<10k,2,2025-02-20
USR0355,Cultural,50k-100k,3,2024-06-09
USR0356,Honeymoon,50k-100k,2,2023-04-04
USR0357,Honeymoon,50k-100k,3,2023-12-24
USR0358,Wildlife,<10k,2,2024-02-10
USR0359,Cultural;Leisure;Wildlife,<10k,0,2024-01-19
USR0360,Adventure,25k-50k,6,2023-04-12
USR0361,Pilgrimage;Cultural;Leisure,10k-25k,1,2023-02-09
USR0362,Honeymoon;Wildlife,10k-25k,1,2025-02-16
USR0363,Wildlife;Honeymoon;Beach,<10k,2,2023-03-23
USR0364,Cultural,10k-25k,1,2025-05-05
USR0365,Beach,100k+,3,2024-06-24
USR0366,Adventure;Cultural,10k-25k,3,2023-11-05
USR0367,Adventure,10k-25k,5,2024-03-05
USR0368,Honeymoon;Beach;Wildlife,<10k,2,2023-04-24
USR0369,Beach;Honeymoon,<10k,2,2024-10-09
USR0370,Beach;Leisure;Pilgrimage,25k-50k,2,2024-03-15
USR0371,Beach,25k-50k,3,2023-09-04
USR0372,Wildlife;Leisure;Adventure,100k+,7,2024-01-05
USR0373,Beach,100k+,0,2024-06-03
USR0374,Beach;Adventure;Wildlife,50k-100k,4,2023-02-14
USR0375,Wildlife;Cultural;Pilgrimage,<10k,2,2024-01-01
USR0376,Cultural,10k-25k,2,2025-01-20
USR0377,Pilgrimage;Adventure;Beach,25k-50k,7,2023-05-17
USR0378,Cultural,100k+,5,2023-12-13
USR0379,Leisure;Pilgrimage;Wildlife,50k-100k,2,2024-10-08
USR0380,Honeymoon,10k-25k,0,2023-03-06
USR0381,Honeymoon;Wildlife;Adventure,25k-50k,2,2023-07-26
USR0382,Honeymoon,10k-25k,3,2023-02-12
USR0383,Cultural;Beach,50k-100k,2,2025-04-14
USR0384,Wildlife;Cultural;Adventure,10k-25k,4,2023-10-20
USR0385,Honeymoon;Adventure,25k-50k,3,2023-10-07
USR0386,Honeymoon,25k-50k,2,2024-03-23
USR0387,Pilgrimage;Wildlife,50k-100k,6,2023-12-14
USR0388,Wildlife,50k-100k,0,2024-01-12
USR0389,Cultural;Adventure;Wildlife,<10k,1,2024-03-16
USR0390,Honeymoon;Leisure;Beach,25k-50k,4,2023-11-25
USR0391,Adventure,25k-50k,2,2024-11-07
USR0392,Cultural;Wildlife,100k+,2,2025-01-04
USR0393,Leisure;Pilgrimage,50k-100k,3,2023-12-26
USR0394,Adventure;Pilgrimage,25k-50k,3,2024-09-21
USR0395,Cultural;Pilgrimage,<10k,1,2023-03-18
USR0396,Pilgrimage;Wildlife;Cultural,100k+,2,2025-03-31
USR0397,Pilgrimage;Leisure;Adventure,10k-25k,1,2025-05-19
USR0398,Pilgrimage;Wildlife;Adventure,10k-25k,3,2023-03-10
USR0399,Honeymoon,25k-50k,2,2024-01-06
USR0400,Beach;Adventure,100k+,5,2023-06-07
